1461479100908	1178560	15
1461479101112	1747520	10
1461479101326	1910080	12
1461479101541	2235200	15
1461479101763	1625600	8
1461479101980	1991360	11
1461479102185	2235200	13
1461479102402	2275840	16
1461479102620	2275840	9
1461479102832	1666240	11
1461479103050	2397760	14
1461479103272	2397760	16
1461479103488	2397760	19
1461479103704	2032000	11
1461479103925	2438400	13
1461479104135	2438400	15
1461479104349	2397760	18
1461479104570	1666240	5
1461479104784	1219200	7
1461479104995	1747520	10
1461479105214	2153920	12
1461479105426	2072640	15
1461479105643	2194560	17
1461479105861	1503680	9
1461479106083	2072640	11
1461479106299	2194560	14
1461479106513	2235200	16
1461479106729	1463040	9
1461479106947	2113280	11
1461479107164	2397760	14
1461479107376	2275840	16
1461479107590	2153920	19
1461479107814	2072640	10
1461479108028	2316480	13
1461479108242	2275840	15
1461479108457	2275840	18
1461479108675	3251200	20
1461479108890	3169920	23
1461479109103	2032000	24
1461479109319	2682240	14
1461479109537	2600960	16
1461479109754	3007360	19
1461479109970	2235200	21
1461479110187	2438400	12
1461479110402	2600960	14
1461479110619	2275840	17
1461479110834	2804160	19
1461479111050	2032000	21
1461479111263	2438400	12
1461479111477	2072640	14
1461479111693	2519680	17
1461479111906	1422400	18
1461479112123	2235200	11
1461479112337	2235200	13
1461479112553	2397760	16
1461479112772	2316480	18
1461479112988	1666240	10
1461479113201	1503680	12
1461479113418	2235200	15
1461479113634	1463040	8
1461479113856	2032000	11
1461479114072	2479040	13
1461479114288	2722880	16
1461479114505	2519680	18
1461479114725	1747520	9
1461479114945	1788160	11
1461479115162	1666240	13
1461479115381	1503680	7
1461479115590	1747520	9
1461479115805	1991360	12
1461479116017	1869440	14
1461479116238	1178560	8
1461479116459	1950720	10
1461479116676	2438400	13
1461479116890	2194560	15
1461479117104	2438400	18
1461479117317	2316480	9
1461479117534	1828800	11
1461479117748	2844800	14
1461479117965	2479040	16
1461479118186	2926080	19
1461479118402	2641600	21
1461479118620	1666240	11
1461479118833	1381760	7
1461479119055	1625600	10
1461479119270	2072640	12
1461479119492	2194560	15
1461479119716	1463040	8
1461479119927	1300480	10
1461479120140	2072640	13
1461479120362	2397760	15
1461479120574	2479040	17
1461479120799	1706880	9
1461479121011	1706880	11
1461479121231	2275840	13
1461479121443	2194560	16
1461479121665	2926080	18
1461479121885	3210560	21
1461479122103	2966720	23
1461479122316	2763520	25
1461479122536	2682240	14
1461479122752	2479040	16
1461479122973	2885440	19
1461479123200	2032000	10
1461479123413	2072640	13
1461479123626	1463040	15
1461479123844	1625600	9
1461479124057	1869440	11
1461479124272	2235200	14
1461479124489	2113280	16
1461479124702	1869440	18
1461479124924	2235200	11
1461479125140	2194560	13
1461479125357	2397760	16
1461479125572	2519680	18
1461479125790	1422400	10
1461479126009	2275840	12
1461479126234	2275840	15
1461479126449	2438400	17
1461479126668	1422400	10
1461479126882	1625600	12
1461479127093	2153920	14
1461479127307	2844800	17
1461479127526	2560320	19
1461479127743	1991360	11
1461479127961	2560320	13
1461479128178	2519680	16
1461479128394	2519680	18
1461479128616	1950720	20
1461479128833	2357120	11
1461479129047	2682240	14
1461479129267	2316480	16
1461479129487	2722880	19
1461479129700	2316480	21
1461479129919	2316480	12
1461479130134	2397760	14
1461479130347	2438400	17
1461479130562	2763520	19
1461479130779	2966720	22
1461479130994	3291840	24
1461479131214	2600960	26
1461479131428	1341120	7
1461479131641	1503680	9
1461479131857	1625600	12
1461479132064	1788160	14
1461479132279	2722880	17
1461479132494	2600960	19
1461479132710	2357120	10
1461479132936	2072640	12
1461479133160	2600960	15
1461479133376	3454400	17
1461479133591	1381760	18
1461479133806	1950720	18
1461479134017	1503680	18
1461479134235	2072640	11
1461479134457	2072640	13
1461479134674	2072640	16
1461479134895	1422400	9
1461479135113	2113280	11
1461479135327	2316480	14
1461479135550	2275840	16
1461479135768	2641600	19
1461479135989	1991360	10
1461479136201	2357120	12
1461479136415	3088640	15
1461479136627	2641600	17
1461479136845	3007360	20
1461479137059	2722880	22
1461479137279	2072640	11
1461479137489	2560320	14
1461479137707	3210560	16
1461479137924	3373120	19
1461479138135	3495040	21
1461479138353	3454400	24
1461479138568	3210560	26
1461479138779	1463040	13
1461479138993	2682240	15
1461479139207	2722880	18
1461479139424	2763520	20
1461479139640	3169920	23
1461479139852	3129280	25
1461479140070	3738880	28
1461479140285	2479040	30
1461479140504	2966720	17
1461479140718	2885440	19
1461479140934	3210560	22
1461479141148	3495040	24
1461479141366	3008000	26
1461479141574	0	29
1461479141785	0	31
1461479141997	0	34
1461479142207	0	36
1461479142417	0	39
