1461459468031	0
1461459468237	0
1461459468444	0
1461459468651	0
1461459468859	0
1461459469066	0
1461459469273	0
1461459469480	0
1461459469686	0
1461459469894	76200
1461459470107	462280
1461459470321	365760
1461459470534	193040
1461459470744	213360
1461459470958	309880
1461459471171	381000
1461459471384	513080
1461459471593	558800
1461459471811	614680
1461459472020	756920
1461459472233	797560
1461459472448	924560
1461459472658	848360
1461459472868	421640
1461459473075	167640
1461459473285	391160
1461459473495	436880
1461459473706	487680
1461459473921	589280
1461459474134	670560
1461459474344	762000
1461459474556	863600
1461459474771	904240
1461459474979	777240
1461459475189	431800
1461459475402	604520
1461459475616	660400
1461459475833	828040
1461459476045	807720
1461459476255	904240
1461459476469	767080
1461459476683	406400
1461459476896	665480
1461459477110	741680
1461459477324	878840
1461459477538	878840
1461459477760	594360
1461459477973	558800
1461459478185	685800
1461459478396	817880
1461459478608	817880
1461459478820	960120
1461459479033	452120
1461459479243	604520
1461459479455	777240
1461459479665	767080
1461459479877	843280
1461459480091	975360
1461459480305	396240
1461459480519	680720
1461459480730	751840
1461459480945	812800
1461459481147	853440
1461459481358	543560
1461459481570	563880
1461459481782	660400
1461459481999	812800
1461459482211	848360
1461459482423	878840
1461459482637	482600
1461459482847	523240
1461459483057	619760
1461459483272	817880
1461459483486	817880
1461459483700	873760
1461459483909	269240
1461459484117	0
1461459484325	0
1461459484532	0
