1461635883125	0
1461635883326	0
1461635883528	0
1461635883729	0
1461635883931	0
1461635884132	0
1461635884334	0
1461635884535	0
1461635884737	0
1461635884938	0
1461635885140	0
1461635885341	0
1461635885543	0
1461635885744	0
1461635885946	40640
1461635886150	2479040
1461635886355	4917440
1461635886560	2682240
1461635886766	3698240
1461635886970	4226560
1461635887178	4511040
1461635887382	934720
1461635887587	1056640
1461635887790	2072640
1461635887995	2275840
1461635888201	2804160
1461635888403	3291840
1461635888608	2560320
1461635888814	1991360
1461635889016	2479040
1461635889218	3007360
1461635889419	3495040
1461635889624	4023360
1461635889829	4511040
1461635890035	5039360
1461635890242	5527040
1461635890448	6990080
1461635890655	6502400
1461635890862	6990080
1461635891068	4876800
1461635891276	2275840
1461635891480	2275840
1461635891686	2763520
1461635891893	3251200
1461635892092	3698240
1461635892299	4104640
1461635892502	1828800
1461635892704	2316480
1461635892906	2966720
1461635893107	3535680
1461635893312	4226560
1461635893517	4348480
1461635893723	3210560
1461635893929	2560320
1461635894137	3332480
1461635894344	3616960
1461635894549	4104640
1461635894755	4632960
1461635894961	5120640
1461635895165	5405120
1461635895369	2438400
1461635895573	3291840
1461635895776	3820160
1461635895979	4307840
1461635896182	4836160
1461635896389	5323840
1461635896595	4145280
1461635896796	3169920
1461635897000	3616960
1461635897206	4754880
1461635897413	4714240
1461635897619	5242560
1461635897826	3251200
1461635898033	3291840
1461635898240	3698240
1461635898445	4226560
1461635898647	4714240
1461635898850	5120640
1461635899048	4389120
1461635899254	1625600
1461635899460	1666240
1461635899662	2194560
1461635899867	2682240
1461635900074	3210560
1461635900281	3698240
1461635900487	4104640
1461635900689	4917440
1461635900891	4876800
1461635901098	2519680
1461635901305	3088640
1461635901511	3576320
1461635901718	4267200
1461635901921	4754880
1461635902122	4754880
1461635902327	3007360
1461635902528	1219200
1461635902730	1869440
1461635902933	2397760
1461635903140	3007360
1461635903345	3454400
1461635903552	3901440
1461635903759	4958080
1461635903957	4429760
1461635904160	5852160
1461635904366	5933440
1461635904571	3657600
1461635904774	1463040
1461635904976	2072640
1461635905178	2600960
1461635905384	2926080
1461635905591	3495040
1461635905795	4389120
1461635905997	4470400
1461635906201	5283200
1461635906408	5608320
1461635906615	6055360
1461635906821	3698240
